acc_train=0.013593958169845837,acc_loss=1.9427739381790161,val_acc=0.013966979046118778,val_loss=1.9714411608874798
acc_train=0.009982989774731506,acc_loss=2.0008771419525146,val_acc=0.01404939119088462,val_loss=1.969629105180502
acc_train=0.012577212783964918,acc_loss=1.987411618232727,val_acc=0.014080601850377458,val_loss=1.969181627035141
acc_train=0.016376514990588734,acc_loss=1.952960729598999,val_acc=0.013927812458334864,val_loss=1.967787403613329
acc_train=0.011413914633330993,acc_loss=1.9781544208526611,val_acc=0.0137605986831707,val_loss=1.9657697267830372
acc_train=0.01127791943873724,acc_loss=1.9980803728103638,val_acc=0.013615726655910213,val_loss=1.965230219066143
acc_train=0.012250490949570318,acc_loss=1.973080039024353,val_acc=0.013831386828625608,val_loss=1.9629185497760773
acc_train=0.01203284279548352,acc_loss=1.9472062587738037,val_acc=0.013369201768233162,val_loss=1.9643459022045135
acc_train=0.013907655330419037,acc_loss=1.9485340118408203,val_acc=0.013672676659397105,val_loss=1.9596191719174385
acc_train=0.011138284521116901,acc_loss=2.0095646381378174,val_acc=0.013518769164211212,val_loss=1.9581481963396072
acc_train=0.013622236567322745,acc_loss=1.9447258710861206,val_acc=0.01323544557237441,val_loss=1.9585822187364101
acc_train=0.008550887160464269,acc_loss=1.9979194402694702,val_acc=0.013083908821761735,val_loss=1.95569521561265
acc_train=0.01031478243379602,acc_loss=1.9741886854171753,val_acc=0.012467926192903394,val_loss=1.955362942069769
acc_train=0.013745924911599774,acc_loss=1.9718706607818604,val_acc=0.012038067885533682,val_loss=1.9498244263231754
acc_train=0.01090803431777468,acc_loss=1.9597837924957275,val_acc=0.013622354741990191,val_loss=1.8320070542395115
acc_train=0.012697240891617884,acc_loss=1.8287469148635864,val_acc=0.013874076250979486,val_loss=1.830906543880701
acc_train=0.013904432834645923,acc_loss=1.8215739727020264,val_acc=0.013639485339788347,val_loss=1.873691614717245
acc_train=0.014300784186947286,acc_loss=1.8755019903182983,val_acc=0.002215207477784966,val_loss=1.6947852671146393
acc_train=0.004192016053303435,acc_loss=1.7303855419158936,val_acc=5.118153135506815e-05,val_loss=1.7695381604135036
acc_train=2.1175780064331146e-05,acc_loss=1.7417173385620117,val_acc=0.0012253672613134338,val_loss=1.6952147707343102
acc_train=0.0012365939945946974,acc_loss=1.679875373840332,val_acc=0.0005587430352873674,val_loss=1.7021128349006176
acc_train=0.00045125115950399926,acc_loss=1.88020658493042,val_acc=0.013982880384820175,val_loss=1.8939158245921135
acc_train=0.013588904077289441,acc_loss=1.8601127862930298,val_acc=0.007527096782889753,val_loss=2.802279606461525
